date,ticker,open,high,low,close,volume,return_1d,return_3d,return_5d,log_return_1d,sma_5,sma_10,close_over_sma5,close_over_sma10,sma_spread_5_10,volatility_5d,rsi_14,macd,macd_signal,macd_hist,log_volume,volume_change_1d,future_return,direction
2023-01-19,AAPL,293.79,295.77,293.27,293.42,4841815,-0.0020406775049315318,-0.011254886103248318,-0.01599651229082122,-0.00204276252432134,295.402,297.047,0.993290499048754,0.9877898110400037,-1.6450000000000387,0.0022346296290575796,30.01631321370337,-0.8965939194076782,-0.31087694376191893,-0.5857169756457592,15.392800414931987,1.0410291192888415,0.009815281848544632,1
2023-01-20,AAPL,296.45,297.9,295.88,296.3,2079188,0.009815281848544632,0.005020012210840585,-0.005671331252726564,0.009767424868020846,295.06399999999996,296.742,1.0041889217254563,0.9985104905945231,-1.6780000000000541,0.006351380464636635,43.32892998679007,-0.8510652771733476,-0.4189146104442047,-0.4321506667291429,14.547488471799078,-0.5705767362032625,-0.001552480593992711,0
2023-01-23,AAPL,296.07,296.89,295.43,295.84,3635923,-0.001552480593992711,0.006190055098292513,-0.0031001482679606784,-0.0015536869407046794,294.88,296.486,1.0032555615843732,0.9978211450119061,-1.6059999999999945,0.006147740135830068,37.43944636678191,-0.8423910956259988,-0.5036099074805636,-0.33878118814543523,15.106373831970846,0.7487225782372735,-0.0077406706327743935,0
2023-01-24,AAPL,294.71,295.29,292.99,293.55,2819415,-0.0077406706327743935,0.00044305091677454556,-0.004307713180923933,-0.007770785128619728,294.62600000000003,295.888,0.9963479122684351,0.9920983615422053,-1.2619999999999436,0.006453940917776629,35.084306095979386,-1.0086732485945618,-0.6046225757033632,-0.40405067289119856,14.852040329269164,-0.2245669118955489,0.0025208652699710843,1
2023-01-25,AAPL,294.38,295.85,293.69,294.29,1610703,0.0025208652699710843,-0.006783665204184941,0.0009183048772194446,0.002517693218873518,294.68,295.51800000000003,0.9986765304737343,0.9958445847630263,-0.8380000000000223,0.006499733332317552,34.01450230718537,-1.0684250978024465,-0.69738308012318,-0.3710420176792666,14.292181908468,-0.42871021116082597,0.007169798498080082,1
2023-01-26,AAPL,295.48,296.41,295.27,296.4,4544781,0.007169798498080082,0.0018929150892375013,0.010156090246063565,0.0071442176928631085,295.276,295.339,1.0038066080548367,1.0035924818598287,-0.06299999999998818,0.006992289931932602,41.35910954891606,-0.934744351765346,-0.7448553344516132,-0.18988901731373276,15.329490319646888,1.8216132955610065,0.0031376518218624305,1
2023-01-27,AAPL,296.57,298.05,296.35,297.33,3208067,0.0031376518218624305,0.012876852324987142,0.0034762065474180925,0.0031327396647951034,295.482,295.27299999999997,1.0062541880723697,1.006966434452185,0.20900000000006003,0.005644340785082483,46.86217008797654,-0.7451683330551759,-0.7449179341723258,-0.00025039888285016687,14.98117944475137,-0.29412066279981364,-0.0002354286483031709,0
2023-01-30,AAPL,297.0,298.8,296.96,297.26,1534651,-0.0002354286483031709,0.010092086037581938,0.004799891833423553,-0.0002354563659778819,295.766,295.323,1.0050512905472568,1.0065589202331007,0.4430000000000405,0.0055423424433998425,42.90181363352096,-0.5937322120365707,-0.7146807897451748,0.12094857770860412,14.243814203203096,-0.5216275096498919,-0.003330417816053366,0
2023-01-31,AAPL,295.96,296.66,295.49,296.27,3188931,-0.003330417816053366,-0.00043859649122801603,0.009265883154488064,-0.0033359760016189455,296.31,295.46799999999996,0.9998650062434612,1.002714337931688,0.8420000000000414,0.003924094602108951,44.43005181347139,-0.5472938583948235,-0.6812034034751046,0.13390954508028108,14.97519662246601,1.077951925225996,-0.001012589867350533,0
2023-02-01,AAPL,294.65,296.04,294.63,295.97,2689693,-0.001012589867350533,-0.004574042309891224,0.0057086547283291544,-0.0010131028828155308,296.646,295.66299999999995,0.9977211895660147,1.0010383443312152,0.9830000000000609,0.004088367550753512,42.85714285714291,-0.5286051897763855,-0.6506837607353607,0.12207857095897523,14.804937990460632,-0.15655340300558396,0.008548163665236252,1
